Date,Type,Lesson,Recording Link,Password
"May 15, 2023","Project Presentations, Unit4",Final Presentations,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/XX3FtTO3XpwjwOmpXKXegmHFqXzp9pgrzl5xkUuZd2Kc4BSVZY6QxJzEDXbwzMcJ.fTw9zWEuCdXl-8W5__;!!GgcXpDZ2N9l6uyZJ!lxeogUaNkSRTIaMU0d1oJsaLTO4Irzt0G1kr9Zmi9UL3lX4cTTWCJA-w9Qf_Qrk5MulpmgLiYfDiDYuutbmcx8PgTio$,0$NW7X3%
"May 9, 2023","Computer Science Topics, Unit4",CS Topics - Sets,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/ZyT0Zcu_3S4v7hebuAgeOXVe3UihI_cZA53ysqIzT2qCssmHWc_JFOVQ5QksEAb1.dIxMoQ1O8ontfJcX__;!!GgcXpDZ2N9l6uyZJ!khqs0SfxSuV0eB7bv5weVRjO5VTnTQ2Xn7O3rzt0hBvgJZHzC4nPNwXvl1Q6aDYLUHA6-YjziLHZw6YHJ8TZmsYsu1Q$,Gt7NC0!^
"May 8, 2023","JavaScript, Unit4",React MERN Auth,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Ynd3ZObiKBoy2Np4kjwialAumtH7w2y9ikcXVRZa6F1To3oGO9DwZ6QkOgxd3g99.qM2dVwRzzSiuRG7c__;!!GgcXpDZ2N9l6uyZJ!hfklD0zgE8ayvnxRR3j7UKDPiEMxdyRT9NmEOQekAdzvSqD4tTD5JX5_9enN1E1YwNLD-7gBWjie_91oDCA8Ny0lM2w$,zEnC+E0=
"May 5, 2023","CSS, JavaScript, Unit4",Tailwind Demo + MERN JWT Auth,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/MZ9XJiERPVBOBJ-ClRnMWqmyaaCoAaSp0e1zb-QjXR4w7Ng7SWbuUjNEmD8fNJTj.ku_qOejWupkDijA8__;!!GgcXpDZ2N9l6uyZJ!kDIzxKrttq8-QE8fOAZI88Uo9Qtlcx5yYLtW443wFoHld_i3mltNxRRoZvddSIqJqJd6lOY49cEIC3Lfb7-8kokWc5c$,7rWYug#J
"May 4, 2023","CSS, JavaScript, Unit4",MERN Show / Delete / Update,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/UqSboIR3YcobvI4Lu1IUDoTkzRjjt0HaWBAh0wPhmrj_gVPSGipBbudDvJzsPXZ_.5kUr875CYgGqn1jJ__;!!GgcXpDZ2N9l6uyZJ!kNhczU-h3UwEm1UwfVpfb5Z2NvRK53qbSg8dMdfV_Sobn-QY5pjfbm_bbxmIH4StUhjRW_RvuDvULYsT238417DTvOA$,3b$h=@Dy
"May 3, 2023","Additional Lessons, CSS, JavaScript, Unit4",React Context + MERN FE Setup + Index,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/-Wz_IGXtuNI8Dp2TTG5gJtYlsDYQS6KMJ9wWJJ1Rc5oKdJw6EabYklcdXzvDqG9R.HdWww8yd5QatgxvD__;!!GgcXpDZ2N9l6uyZJ!mjQsZ0mGCs7DDodzkGnYnbF_M_Mqe0MJnN6XYk7qK_H6y5pkNXBlHiXZKL0FJMn1f9e2uWzZOmrfwE4S_i0-qeaqbrw$,*jU&hiL7
"May 2, 2023","CLI, Deployment, JavaScript, Unit4","MERN Intro + Express API + Deployment ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Hk2grFuWik-eUXyyd0AmO3NzT_z9pFLre6z6IV1QXn1KreYNKZJTJKVZNHXrKWLC.1HwpxwLu-bsOBARb__;!!GgcXpDZ2N9l6uyZJ!nF1y7xS2cH2tJaXzEPELrZzbsFMJEL-eKHXlx0z4tq6iTRlHYddPcFQTGmoXOapzmkCUKA1PBgumpgKoihzXlEg6Gow$,7#LpvKTL
"May 1, 2023","Additional Lessons, Deployment, JavaScript, Unit4",React Review + React Router  + Netlify Deployment,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/izG_rbEnOuxnv_zIB_ZVSZ5E1rQyMb40HZ1n18629aH0Q9TdR-7-Ehdt---P0pT7.SYuxBVMogaiwCOCj__;!!GgcXpDZ2N9l6uyZJ!nG8HlipDYzOVS2FfNkvdqJu7gNxT6AcVCtUGet-7SquhYgmqFz6_tm0M3TbtePlHz14_ATRWYW6-Zv_P2iBEoHwY1bI$,2&+rusea
"April 28, 2023","CSS, Computer Science Topics, HTML, JavaScript, Unit4",Hash Maps + React Events,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/mAn5XO1l4kUcosMsdSfR6Rlk2NkxgHdl_wlVHyPgP2lBJXyjq7A7xPNCrtG5D_eL.nOIEmUntpMuoUOOB__;!!GgcXpDZ2N9l6uyZJ!g2LPdSwq1KIBmL79lcrhFJjVozwIhkWl8Be2yeMT02KUZQpPO5i0x7OClJprRFggPY3AYWubHo91emlHHhGU62EDszo$,L&#YS347
"April 27, 2023","CSS, HTML, JavaScript, Unit4",React State Intro,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/F7YMvvj-153f5cht2khJDUcvLDrP4n8XNkmcyWO8vGfcn3cE1xUEZ61DGb3QaoTQ.Zy4Sb_qizfnRAV72__;!!GgcXpDZ2N9l6uyZJ!ljEMQZeMOvS7rRYhHodT55HNUJh5Hj-2b2en4Yw1aWuFACx8E0nYFOih5lO8H7f766TjyoWlVuH7NRC2o7grQP1q2wQ$,rz!t8^6B
