Lesson,Date,Password,Recording Link,Type
Reg-Ex + Promises Review / DB Seeding,"March 23, 2023",T8Q0GWw$,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/5nPsLs7mls-vsl-QRV0sgP7ggVSsIjCJsJ5nyoBYeMwTaPWB-RZV6TfDhlSH4BE.KpLLzLMJ1aXKLiaL__;!!GgcXpDZ2N9l6uyZJ!kQqSD90CFzXB_nOJaYZBm2GAI-dwphpvnfNAlfZRs4mcnrM1GIb2MNvtMcG3VgmhM19-VbErXjaiZXYkiUE3Hy1Iu3I$,"Computer Science Topics, HTML, JavaScript, Unit2"
React Context + MERN FE Setup + Index,"May 3, 2023",*jU&hiL7,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/-Wz_IGXtuNI8Dp2TTG5gJtYlsDYQS6KMJ9wWJJ1Rc5oKdJw6EabYklcdXzvDqG9R.HdWww8yd5QatgxvD__;!!GgcXpDZ2N9l6uyZJ!mjQsZ0mGCs7DDodzkGnYnbF_M_Mqe0MJnN6XYk7qK_H6y5pkNXBlHiXZKL0FJMn1f9e2uWzZOmrfwE4S_i0-qeaqbrw$,"Additional Lessons, CSS, JavaScript, Unit4"
"Project Group Presentations + Unit 2 Intro ","March 13, 2023",y0*o=i!0,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/k-6AhTjUBxC5Jvgfm_WXVT5elXZpAYBBIvCksIHQ6gqTfwqqFBPshmSXHmNl2CA7.vgyB1-F5lBnNKO7x__;!!GgcXpDZ2N9l6uyZJ!gftJeSFaF3sedB2QI8uYeLYh38Oc_CFVfq1qjs2x8CWAILbp1qdd3THY2mGgTan4g4isyUtY06rrDv3bfGcM6w3f51I$,"Project Presentations, Unit 1, Unit2"
Django / Heroku Deployment,"April 19, 2023",U%i7cS0&,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Nzoxmi1XFe71UUDES_MeHyV31E5hNmQmuFntgh2fCNdoKYtv3EYDSk-7V31VkiBQ.XNYrA-JBQwc7dWXu__;!!GgcXpDZ2N9l6uyZJ!gynXEKWrSPkYnVkVHxCOhJhzNfMGvfS7t8GxDBfjHdIlCmcbChfaFOxXw5JAw0hQjr9oIROskCmgFHB4UHkCzpVtK8I$,"CLI, Deployment, Unit3"
React State Intro,"April 27, 2023",rz!t8^6B,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/F7YMvvj-153f5cht2khJDUcvLDrP4n8XNkmcyWO8vGfcn3cE1xUEZ61DGb3QaoTQ.Zy4Sb_qizfnRAV72__;!!GgcXpDZ2N9l6uyZJ!ljEMQZeMOvS7rRYhHodT55HNUJh5Hj-2b2en4Yw1aWuFACx8E0nYFOih5lO8H7f766TjyoWlVuH7NRC2o7grQP1q2wQ$,"CSS, HTML, JavaScript, Unit4"
GH Deployment + setInterval Timer demo,"March 10, 2023",gq%.86N^,"https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/EqgJ7GUn8ApD6OQUXPy56kUbooIVfuaYiOx7BT2ei9dAdGAUAxeA6MDgdjk4p3RC.O7jlMxVhsSvmKRku__;!!GgcXpDZ2N9l6uyZJ!h91R02n35e6BSCNis6lLQM7GzNiVtW3_TuxRpRIbfoIXDe0eLvab29V0MHi8mVlgLDnyfZLqsBrXNn2FOCDeiZwuahE$
","Additional Lessons, Deployment, Unit 1"
OAuth Setup and Login/Logout,"March 27, 2023",v9726&m^,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/kt2pz70TLpxLOViBcANDCJNhNi_Wpp3zDmMPQsD_1hwr_CPt7z3o5tdhe8tlxFXp.peIABpVdzUWGBpz6__;!!GgcXpDZ2N9l6uyZJ!mnpeMAM56NJChkJ2wQTz96T8BUgKzyUerEQNhzywa8_UIsjt59TJKPBCx8I4t3kEW5OBKfYt5Hv6iZlHaG44EHJxTrA$,"JavaScript, Unit2"
React MERN Auth,"May 8, 2023",zEnC+E0=,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Ynd3ZObiKBoy2Np4kjwialAumtH7w2y9ikcXVRZa6F1To3oGO9DwZ6QkOgxd3g99.qM2dVwRzzSiuRG7c__;!!GgcXpDZ2N9l6uyZJ!hfklD0zgE8ayvnxRR3j7UKDPiEMxdyRT9NmEOQekAdzvSqD4tTD5JX5_9enN1E1YwNLD-7gBWjie_91oDCA8Ny0lM2w$,"JavaScript, Unit4"
CS Topics - Sets,"May 9, 2023",Gt7NC0!^,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/ZyT0Zcu_3S4v7hebuAgeOXVe3UihI_cZA53ysqIzT2qCssmHWc_JFOVQ5QksEAb1.dIxMoQ1O8ontfJcX__;!!GgcXpDZ2N9l6uyZJ!khqs0SfxSuV0eB7bv5weVRjO5VTnTQ2Xn7O3rzt0hBvgJZHzC4nPNwXvl1Q6aDYLUHA6-YjziLHZw6YHJ8TZmsYsu1Q$,"Computer Science Topics, Unit4"
Python Functions,"April 6, 2023",J29g=.Mk,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/9zyfVqJxkCQKNWXRg0UsrLb85odyT17Fu3moKHK4NPLcxzpd1bCfmf39wF79vghG.RCQqo76pzuPe9NSv__;!!GgcXpDZ2N9l6uyZJ!iU6mbFBUJsRn99z1uZRfcp7PFF7xIBdtgEwCIbCiW1Gd1iA-B30wftcaWev5gqAFKfFpwNDc5QFwxevy8MVKjC5O-Rg$,"Python, Unit3"
