Name,Effect,Keystrokes
Unindent,"Un-indents a line of code. ",COMMAND + OPENING-BRACKET
Search,"Opens a search bar that allows you to search for a certain file name; to search the document for keywords, use the magnifying glass on the left task bar.",COMMAND + P
Select Line,"Highlights the entire line that your cursor is currently on. ",COMMAND + L
Shuffle,"Hold CONTROL, tap TAB: Opens a dropdown list of open tabs, and tapping tab again will highlight the next tab. The highlighted tab will be opened when the keys are released.",CONTROL + TAB
Copy Line,Duplicates the line of code your cursor rests on directly below the original line.,SHIFT + OPTION + DOWN-ARROW
Indent,Indents a line of code.,COMMAND + CLOSING-BRACKET
Select,"After selecting text, when you use this command it will highlight further instances of the same text - which you can use to change them all at once.",COMMAND + D
Move Line,"Moves selected code line(s) up or down, highlight the lines or rest your cursor on a single line.",OPTION + UP/DOWN-ARROW
Side Bar,"Toggles the Explorer tab visibility, which displays the file structure of the open project.",COMMAND + B
,,
New Line,"With your cursor placed anywhere on a line of code, this will create an empty line beneath the original and place your cursor at the beginning of the new line.",COMMAND + ENTER
Terminal,Open's the integrated VSCode terminal.,CONTROL + BACTICK
Comment,"Comments out code, or comment on.",COMMAND + FORWARD-SLASH
